"key","value","expiration"
"key","owner","expiration"
"id","kode_produk","nama_produk","berat_produk","diameter_produk","lebar_produk","keterangan","status","no_gs","created_at","updated_at"
"490","SL24-111043(1) A","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4039",NULL,NULL,NULL,"0","GSX24-100843","2024-12-16 02:04:53","2024-12-16 02:04:53"
"491","SL24-111043(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4039",NULL,NULL,NULL,"0","GSX24-100843","2024-12-16 02:04:53","2024-12-16 02:04:53"
"492","SL24-111044(1) A","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4008",NULL,NULL,NULL,"0","GSX24-100843","2024-12-16 02:04:53","2024-12-16 02:04:53"
"493","SL24-111044(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4008",NULL,NULL,NULL,"0","GSX24-100843","2024-12-16 02:04:53","2024-12-16 02:04:53"
"494","SL24-111045(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4500",NULL,NULL,NULL,"0","GSX24-100843","2024-12-16 02:04:53","2024-12-16 02:04:53"
"495","SL24-111047(1) A","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3965",NULL,NULL,NULL,"0","GSX24-100843","2024-12-16 02:04:53","2024-12-16 02:04:53"
"496","SL24-111046(1) A","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4404",NULL,NULL,NULL,"0","GSX24-100844","2024-12-16 02:04:53","2024-12-16 02:04:53"
"497","SL24-111046(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4404",NULL,NULL,NULL,"0","GSX24-100844","2024-12-16 02:04:53","2024-12-16 02:04:53"
"498","SL24-111047(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3965",NULL,NULL,NULL,"0","GSX24-100844","2024-12-16 02:04:53","2024-12-16 02:04:53"
"499","SL24-111076(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5632",NULL,NULL,NULL,"0","GSX24-100844","2024-12-16 02:04:53","2024-12-16 02:04:53"
"500","SL24-111076(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2816",NULL,NULL,NULL,"0","GSX24-100844","2024-12-16 02:04:53","2024-12-16 02:04:53"
"501","SL24-111077(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2809",NULL,NULL,NULL,"0","GSX24-100844","2024-12-16 02:04:53","2024-12-16 02:04:53"
"502","SL24-111077(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5618",NULL,NULL,NULL,"0","GSX24-100845","2024-12-16 02:04:53","2024-12-16 02:04:53"
